drugbank_id,disease
DB00452,ocular infections
DB00452,corneal ulcers
DB00452,bacterial blepharitis
DB00452,bacterial bonjunctivitis
DB00452,meibomianitis
DB00453,acne
DB00453,brucellosis
DB00454,pain
DB00455,chronic idiopathic urticaria
DB00455,urticaria
DB00455,pruritus
DB00455,erythema
DB00455,allergic rhinitis
DB00456,respiratory tract
DB00456,urinary tract
DB00456,infections
DB00456,infection
DB00457,hypertension
DB00457,pheochromocytoma
DB00457,prostatic hyperplasia
DB00457,congestive heart failure
DB00458,depression
DB00458,postherpetic neuralgia
DB00458,bipolar disorder
DB00458,adhd
DB00458,depressive
DB00458,agoraphobia
DB00458,schizophrenia
DB00458,panic disorders
DB00458,eating disorders
DB00458,enuresis
DB00459,psoriasis
DB00460,tumors
DB00460,ocular histoplasmosis syndrome
DB00460,choroidal neovascularization
DB00461,rheumatoid arthritis
DB00461,osteoarthritis
DB00462,peptic ulcer
DB00462,nausea
DB00462,vomiting
DB00463,epilepsy
DB00465,acute pain
DB00466,respiratory distress
DB00466,poisoning
DB00467,cystitis
DB00467,gonorrhea
DB00467,infections
DB00467,urinary tract infections
DB00468,leg cramps
DB00468,malaria
DB00469,backache
DB00469,rheumatoid arthritis
DB00469,osteoarthritis
DB00469,pain
DB00470,weight loss
DB00470,nausea
DB00470,anorexia
DB00470,aids
DB00470,cancer
DB00470,vomiting
DB00472,premenstrual dysphoric disorder
DB00472,obsessive-compulsive disorder
DB00472,post-traumatic stress disorder
DB00472,panic disorder
DB00472,agoraphobia
DB00472,bulimia nervosa
DB00472,fibromyalgia
DB00472,raynaud's phenomenon
DB00472,dementia-associated agitation
DB00472,ptsd
DB00472,mdd
DB00472,anxiety disorder
DB00472,depressive disorder
DB00472,treatment-resistant
DB00472,mutism
DB00472,nonpsychotic
DB00472,bipolar i depression
DB00472,ocd
DB00472,chronic neuropathic pain
DB00473,nerve block
DB00475,anxiety disorders
DB00475,anxiety
DB00475,alcoholism
DB00476,stress urinary incontinence
DB00476,sui
DB00476,neuropathic pain
DB00476,mdd
DB00476,diabetic peripheral neuropathy
DB00476,fibromyalgia
DB00476,anxiety disorder
DB00476,depressive disorder
DB00477,impulsivity
DB00477,nausea
DB00477,manic
DB00477,hyperactive
DB00477,schizophrenia
DB00477,acute intermittent porphyria
DB00477,hiccups
DB00477,combativeness and/or explosive hyperexcitable behavior
DB00477,manic-depressive illness
DB00477,vomiting
DB00477,tetanus
DB00478,illness
DB00479,indole-positive
DB00479,infections
DB00479,tuberculosis infections
DB00479,indole-negative proteus
DB00479,acinetobacter
DB00480,myelodysplastic syndromes
DB00480,transfusion-dependent anemia
DB00480,multiple myeloma
DB00480,5q cytogenetic abnormality
DB00481,bone loss
DB00481,osteoporosis
DB00481,breast cancer
DB00481,corticosteroid-induced
DB00482,primary dysmenorrhea
DB00482,osteoarthritis
DB00482,acute pain
DB00482,rheumatoid arthritis
DB00482,ra
DB00482,familial adenomatous polyposis
DB00482,spondylitis
DB00482,juvenile rheumatoid arthritis
DB00484,erythema
DB00484,ocular hypertension
DB00484,open-angle glaucoma
DB00485,infections
DB00486,cancer
DB00486,nausea
DB00486,vomiting
DB00487,urethritis
DB00487,genitourinary tract
DB00487,gram-negative-bacterial infections
DB00488,ovarian cancer
DB00489,ventricular arrhythmias
DB00489,atrial fibrillation/atrial flutter
DB00490,anxiety disorders
DB00490,ssri-treatment
DB00490,depression
DB00490,anxiety
DB00491,non-insulin-dependent diabetes mellitus
DB00491,niddm
DB00491,hyperglycemia
DB00492,hypertension
DB00492,nephropathy
DB00492,congestive heart failure
DB00492,diabetes mellitus
DB00492,renal disease
DB00492,hypertensive
DB00492,microalbuminuria
DB00493,pyelonephritis
DB00493,infection
DB00493,gonorrhoea
DB00493,infections
DB00493,meningitis
DB00494,end-of-dose
DB00494,idiopathic parkinson's disease
DB00495,human immunovirus (hiv) infections
DB00496,urinary incontinence
DB00497,pulmonary oedema
DB00497,diarrhoea
DB00497,pain
DB00498,cardiomyopathy
DB00498,pulmonary embolism
DB00498,cerebral embolism
DB00498,flutter
DB00498,atrial fibrillation
DB00498,mural thrombosis
DB00499,carcinoma of the prostate
DB00500,rheumatoid arthritis
DB00500,osteoarthritis
DB00500,juvenile rheumatoid arthritis
DB00501,acid-reflux disorders
DB00501,gerd
DB00501,ulcer disease
DB00501,acid indigestion
DB00501,heartburn
DB00502,delirium
DB00502,tourette's syndrome
DB00502,gilles de la tourette's syndrome
DB00502,nausea
DB00502,adhd
DB00502,attention-deficit hyperactivity disorder
DB00502,schizophrenia
DB00502,disrubtive behaviour disorder
DB00502,vomiting
DB00502,tics and vocal utterances of
DB00502,psychotic disorders
DB00503,hiv-1 infection
DB00504,depression
DB00504,respiratory depression
DB00505,peptic ulcer disease
DB00505,nystagmus
DB00507,diarrhea
DB00508,nausea
DB00508,vomiting
DB00508,psychoses
DB00511,congestive heart failure
DB00512,methicillin-resistant
DB00512,infections
DB00513,postoperative bleeding
DB00514,dry cough
DB00515,tumors
DB00515,ovarian tumors
DB00515,bladder cancer
DB00516,allergic contact dermatitis
DB00517,peptic ulcer
DB00517,gastric emptying
DB00518,parenchymal neurocysticercosis
DB00518,taenia
DB00518,cystic hydatid disease of the liver
DB00519,hypertension
DB00519,hypertensive
DB00519,nephropathy
DB00519,myocardial infarction
DB00519,congestive heart failure
DB00519,left ventricular systolic dysfunction
DB00519,diabetes mellitus
DB00519,renal disease
DB00519,chf
DB00519,microalbuminuria
DB00520,esophageal candidiasis
DB00520,aspergillosis
DB00521,hypertension
DB00521,chronic open-angle glaucoma
DB00522,exocrine pancreatic insufficiency
DB00523,cutaneous lesions
DB00523,aids-related kaposi's sarcoma
DB00524,hypertension
DB00525,skin infections
DB00525,infections
DB00525,ringworm infections
DB00526,tumor
DB00526,colon cancer
DB00526,carcinoma of the colon or rectum
DB00527,peripheral nerve block
DB00528,hypertension
DB00528,angina pectoris
DB00528,raynaud's syndrome
DB00529,cmv retinitis
DB00529,acyclovir-resistant mucocutaneous hsv infections
DB00529,acquired immunodeficiency syndrome
DB00529,aids
DB00530,non-small cell lung cancer
DB00530,pancreatic cancer
DB00531,multiple myeloma
DB00531,adenocarcinoma of the ovary
DB00531,carcinoma of the breast
DB00531,mycosis fungoides
DB00531,retinoblastoma
DB00531,nephrotic syndrome
DB00531,malignant lymphomas
DB00531,neuroblastoma
DB00531,disseminated disease
DB00531,leukemias
DB00532,epilepsy
DB00533,primary dysmenorrhea
DB00533,osteoarthritis
DB00533,acute pain
DB00533,rheumatoid arthritis
DB00533,auras
DB00533,migraine
DB00535,infections
DB00536,myasthenic syndrome of
DB00536,muscle weakness
DB00536,fatigability
DB00536,myasthenia gravis
DB00536,eaton-lambert
DB00537,cystitis
DB00537,skin and skin structure
DB00537,respiratory tract infections
DB00537,urinary tract infections
DB00537,enteric fever
DB00537,infections
DB00537,sinusitis
DB00537,typhoid fever
DB00537,intra-abdominal infections
DB00537,chronic bacterial prostatitis
DB00537,infectious diarrhea
DB00538,tumors
DB00539,receptor-unknown tumors
DB00539,breast cancer
DB00539,prostate cancer
DB00539,high-grade prostatic intraepithelial neoplasia
DB00540,depression
DB00540,diabetic neuropathy
DB00540,agitation
DB00540,irritable bowel syndrome
DB00540,sleep disorders
DB00540,insomnia
DB00540,migraine
DB00540,chronic pain
DB00541,acute lymphocytic leukemia
DB00541,wilms' tumor
DB00541,all
DB00541,rhabdomyosarcoma
DB00541,chromosome-negative (ph-) acute lymphoblastic leukemia
DB00541,neuroblastoma
DB00541,non-hodgkin lymphomas
DB00541,hodgkin lymphoma
DB00542,hypertension
DB00543,depression
DB00543,neurotic or reactive depressive disorders
DB00543,psychotic depressions
DB00543,agitation
DB00543,anxiety
DB00544,carcinoid
DB00544,cancer
DB00544,basal cell carcinomas
DB00544,"colon, esophageal, gastric, rectum, breast, biliary tract"
DB00545,myasthenia gravis
DB00546,status epilepticus
DB00546,anxiety
DB00547,corticosteroid-responsive dermatoses
DB00550,grave's disease
DB00550,hyperthyroidism
DB00551,urinary infections
DB00552,hairy cell leukaemia
DB00553,psoriasis
DB00553,vitiligo
DB00554,rheumatoid arthritis
DB00554,osteoarthritis
DB00555,depression
DB00555,lennox-gastaut syndrome
DB00555,epilepsy
DB00555,seizures
DB00555,bipolar i disorder
DB00557,organic disease
DB00557,psychoneurosis
DB00557,urticaria
DB00557,pruritus
DB00557,anxiety
DB00557,allergic
DB00559,pulmonary arterial hypertension
DB00560,skin and skin structure
DB00560,clostridium
DB00560,vancomycin-susceptible
DB00560,infections
DB00560,intra-abdominal infections
DB00561,acute respiratory insufficiency
DB00561,chronic obstructive pulmonary disease
DB00562,edema
DB00563,acute lymphocytic leukemia
DB00563,gestational choriocarcinoma
DB00563,meningeal leukemia
DB00563,mycosis fungoides
DB00563,squamous cell and small cell types
DB00563,epidermoid cancers
DB00563,lung cancer
DB00563,polyarticular-course juvenile rheumatoid arthritis
DB00563,rheumatoid arthritis
DB00563,stage non-hodgkin’s lymphomas
DB00563,psoriasis
DB00563,cutaneous t cell lymphoma
DB00563,breast cancer
DB00563,chorioadenoma destruens
DB00564,trigeminal neuralgia
DB00564,epilepsy
DB00564,pain
DB00566,poisoning
DB00567,prostatitis
DB00567,respiratory tract infections
DB00567,infections
DB00567,otitis
DB00567,genitourinary tract infections
DB00568,nausea
DB00568,vomiting
DB00569,myocardial infarction
DB00569,vte
DB00569,death
DB00569,abdominal cancer
DB00569,hip fracture
DB00569,pe
DB00569,catheter thrombosis
DB00569,myocardial reinfarction
DB00569,dvt
DB00569,thromboembolic
DB00570,mycosis fungoides
DB00570,kaposi's sarcoma
DB00570,lymphomas
DB00570,non-hodgkin's lymphomas
DB00570,histiocytosis
DB00570,neuroblastoma
DB00570,breast cancer
DB00571,migraine
DB00572,poisoning
DB00573,rheumatoid arthritis
DB00573,osteoarthritis
DB00573,pain
DB00574,obesity
DB00575,hypertension
DB00575,pheochromocytoma
DB00575,glaucoma
DB00575,adhd
DB00575,dysmenorrhea
DB00575,attention-deficit hyperactivity disorder
DB00575,cancer pain
DB00575,hemorrhagic glaucoma
DB00575,open-angle
DB00575,migraine headaches
DB00575,hypertensive
DB00576,urinary tract infection
DB00577,herpes
DB00577,shingles
DB00577,herpes labialis
DB00577,herpes zoster
DB00578,bacteriuria
DB00579,hypertension
DB00579,diabetes
DB00579,obesity
DB00579,hyperlipidemia
DB00580,dysmenorrhoea
DB00580,osteoarthritis
DB00581,hepatic encephalopathy
DB00581,constipation
DB00582,fungal infections
DB00582,pulmonary aspergillosis
DB00582,esophageal candidiasis
DB00583,glutaric aciduria ii
DB00583,acidemia
DB00583,end-stage renal disease
DB00583,hyperlipoproteinemias
DB00584,renovascular hypertension
DB00584,congestive heart failure
DB00585,acid-reflux disorders
DB00585,gerd
DB00585,active duodenal ulcer
DB00585,benign gastric ulcer
DB00585,ulcer disease
DB00586,rheumatoid arthritis
DB00586,osteoarthritis
DB00588,non-allergic rhinitis
DB00588,dermatoses
DB00588,allergic
DB00588,psoriasis
DB00589,parkinson's disease
DB00590,hypertension
DB00590,urinary obstruction
DB00591,chronic non-infectious uveitis
DB00592,intestinal obstruction
DB00592,ascariasis
DB00592,enterobiasis
DB00593,epilepsy
DB00594,hypertension
DB00594,congestive heart failure
DB00595,pneumoniae
DB00595,infections
DB00595,respiratory infections
DB00596,corticosteroid-responsive dermatoses
DB00597,"liver, breast, musculoskeletal system and soft tissue pathologies"
DB00598,hypertension
DB00598,pheochromocytoma
DB00598,angina pectoris
DB00598,reduction in blood pressure
DB00598,preeclampsia
DB00598,hypotension
DB00598,sympathetic overactivity syndrome
DB00598,tetanus
DB00598,bleeding
DB00598,hypertensive
DB00599,convulsive
DB00599,psychiatric disorders
DB00600,loss of skin color (vitiligo
DB00601,bacterial infections
DB00602,scabies
DB00602,strongyloidiasis
DB00602,river blindness
DB00602,onchocerciasis
DB00603,puberty
DB00603,paraphilia
DB00603,amenorrhea
DB00603,abnormal uterine bleeding
DB00603,endometrial and renal cell carcinomas
DB00603,pain
DB00603,endometriosis
DB00604,gastroesophageal reflux disease
DB00604,nocturnal heartburn
DB00605,spondylitis
DB00605,rheumatoid arthritis
DB00605,acute painful shoulder (acute subacromial
DB00605,osteoarthritis
DB00606,hypertension
DB00606,edema
DB00606,hepatic cirrhosis
DB00606,congestive heart failure
DB00607,infections
DB00608,p.
DB00608,p. ovale
DB00608,p. falciparum
DB00608,malaria
DB00608,rheumatoid arthritis
DB00608,p.malariae
DB00609,pulmonary and extrapulmonary tuberculosis
DB00610,hypotension
DB00610,brain damage
DB00610,shock
DB00610,hemorrhage
DB00611,pain
DB00612,hypertension
DB00612,angina pectoris
DB00612,myocardial infarction
DB00612,heart failure
DB00614,diarrhea
DB00614,enteritis
DB00615,hiv infection
DB00617,seizures
DB00618,inappropriate antidiuretic hormone (siadh
DB00618,lyme disease
DB00618,urinary tract infections
DB00618,hyponatremia
DB00618,gonorrhea
DB00618,gum disease
DB00618,malaria
DB00618,acne
DB00618,bacterial infections
DB00618,chlamydia
DB00618,bronchitis
DB00619,malignant gastrointestinal stromal tumors
DB00619,ph+ acute lymphoblastic leukaemia
DB00619,hypereosinophilic syndrome
DB00619,chronic myeloid leukemia
DB00619,gist
DB00619,chronic eosinophilic leukemia
DB00619,dermatofibrosarcoma protuberans
DB00619,ph+ cml
DB00619,myelodysplastic/myeloproliferative diseases
DB00620,allergic rhinitis
DB00621,weight loss
DB00621,weight gain
DB00622,hypertension
DB00622,chronic stable angina
DB00623,psychotic disorders
DB00624,hiv infection
DB00624,carcinoma of the breast
DB00624,hypogonadism
DB00624,congenital or acquired hypogonadism
DB00624,metastatis
DB00625,hiv infection
DB00625,aids
DB00626,pneumonia
DB00626,empyema
DB00626,wound infections
DB00627,hyperlipidemia
DB00628,anxiety disorders
DB00628,seizures
DB00628,anxiety
DB00630,paget's disease of bone
DB00630,osteoporosis
DB00631,acute lymphocytic (lymphoblastic) leukemia
DB00632,oral-facial herpes simplex
DB00632,fever
DB00633,pain
DB00633,anxiety
DB00634,conjunctivitis
DB00634,keratitis
DB00634,bacterial vaginitis
DB00634,blepharitis
DB00635,congenital adrenal hyperplasia
DB00635,waldenstrom's macroglobulinemia
DB00635,secondary adrenocortical insufficiency
DB00635,dermatitis
DB00635,herpes zoster ophthalmicus
DB00635,keratitis
DB00635,psoriasis
DB00635,cerebral edema
DB00635,allergic rhinitis
DB00635,erythema multiforme
DB00635,neoplasms
DB00635,addison's disease
DB00635,bursitis
DB00635,loeffler's syndrome
DB00635,neuritis
DB00635,mycosis fungoides
DB00635,iridocyclitis
DB00635,sarcoidosis
DB00635,primary brain tumors
DB00635,berylliosis
DB00635,iritis
DB00635,fulminating
DB00635,nonrheumatic carditis
DB00635,atopic dermatitis
DB00635,myasthenia gravis
DB00635,tenosynovitis
DB00635,systemic lupus erythematosus
DB00635,hypercalcemia
DB00635,corneal marginal allergic ulcers
DB00635,"chronic lymphocytic leukemia, hodgkin's or non-hodgkin's lynphomas"
DB00635,crohn's disease
DB00635,nephrotic syndrome
DB00635,stevens-johnson syndrome
DB00635,giant cell arteritis
DB00635,multiple sclerosis
DB00635,dermatomyositis
DB00635,dermatitis herpetiformis
DB00635,pneumonitis
DB00635,acute adrenocortical insufficiency
DB00635,idiopathic thrombocytopenia purpura
DB00635,erythroblastopenia
DB00635,hemolytic anemia
DB00635,chorioretinitis
DB00635,ulceratice colitis
DB00635,conjunctivitis
DB00635,ophthalmia
DB00635,epicondylitis
DB00635,tuberculous meningitis
DB00635,choroiditis
DB00635,pulmonary tuberculosis
DB00635,congenital hypoplastic anemia
DB00635,thrombocytopenia
DB00636,dysbetalipoproteinemia
DB00636,hyperlipidemia
DB00637,conjunctivitis
DB00637,arrhythmias
DB00637,rhinitis
DB00637,allergy
DB00638,hyperinsulinemia
DB00638,hyperglycemia
DB00638,diabetes mellitus
DB00639,vulvovaginal candidiasis
DB00639,infections
DB00640,supraventricular tachycardias
DB00640,supraventricular tachycardia
DB00641,hypercholesterolemia
DB00641,cardiac heart disease
DB00641,familial hypercholesterolemia
DB00642,non-small cell lung cancer
DB00642,nsclc
DB00642,malignant pleural mesothelioma
DB00643,ancylostoma
DB00643,infections
DB00644,pituitary tumor
DB00645,canker sores
DB00645,fever
DB00645,urinary tract
DB00645,vagina
DB00645,respiratory tract
DB00645,"larynx, mouth, pharynx or throat"
DB00646,cutaneous or mucocutaneous mycotic infections
DB00646,candida species
DB00647,pain
DB00648,cushing's syndrome
DB00648,adrenocortical tumours
DB00649,human immunovirus (hiv) infections
DB00650,osteosarcoma
DB00650,colorectal cancer
DB00650,megaloblastic anemias
DB00650,toxicity
DB00650,overdosages
DB00651,chronic bronchitis
DB00651,emphysema
DB00651,bronchospasm
DB00652,pain
DB00653,toxemias
DB00653,acute nephritis
DB00653,hypomagnesemia
DB00653,eclampsia
DB00653,tetany
DB00653,pre-eclampsia
DB00653,convulsions
DB00653,hypocalcemia
DB00653,uterine tetany
DB00654,ocular hypertension
DB00654,open-angle glaucoma
DB00655,perimenopausal
DB00656,depression
DB00657,hypertension
DB00657,malignant hypertension
DB00658,chronic kidney disease
DB00659,alcohol dependence
DB00660,upper motor neuron syndromes
DB00660,peripheral musculoskeletal
DB00660,spasticity
DB00661,hypertension
DB00661,cluster headache
DB00661,angina
DB00662,nausea
DB00662,gastroenteritis
DB00662,postoperative nausea and vomiting
DB00663,atopic dermatitis
DB00663,rash
DB00663,dermatitis
DB00663,psoriasis
DB00664,chronic bronchitis
DB00664,urinary tract infection
DB00665,prostate cancer
DB00666,puberty
DB00666,gnrh-dependent precocious precocity
DB00666,endometriosis
DB00666,isosexual precocity
DB00668,sepsis
DB00668,anaphylaxis
DB00669,migraine
DB00670,peptic ulcer
DB00670,duodenal ulcer
DB00670,gastric ulcer
DB00671,urinary tract infections
DB00671,chronic bronchitis
DB00671,gonorrhea
DB00671,infections
DB00671,tonsillitis
DB00671,pharyngitis
DB00671,otitis
DB00671,bronchitis
DB00671,non-penicillinase-producing
DB00672,niddm
DB00673,nausea
DB00673,vomiting
DB00674,cognitive impairment
DB00674,alzheimer's type
DB00674,dementia
DB00674,alzheimer's disease
DB00675,breast cancer
DB00675,ductal carcinoma
DB00676,lice
DB00676,scabies
DB00677,esotropia
DB00677,glaucoma
DB00678,hypertension
DB00678,left ventricular hypertrophy
DB00678,myocardial infarction
DB00678,congestive heart failure
DB00678,diabetic nephropathy
DB00678,systolic dysfunction
DB00678,coronary artery disease
DB00679,anxiety disorder
DB00679,schizophrenia
DB00680,arrhythmias
DB00681,fungal infections
DB00682,retinal vascular occlusion
DB00682,cardiomyopathy
DB00682,cerebral ischaemia
DB00682,thrombosis
DB00682,pulmonary embolism
DB00682,flutter
DB00682,cerebral embolism
DB00682,embolism
DB00682,atrial fibrillation
DB00684,sinus infections
DB00684,pseudomonas aeruginosa lung infections
DB00685,urethritis
DB00685,gonorrhea
DB00685,infections
DB00685,cervicitis
DB00685,chlamydia
DB00685,urethral gonorrhea
DB00686,bladder pain
DB00686,interstitial cystitis
DB00687,adrenocortical insufficiency
DB00687,salt-losing adrenogenital syndrome
DB00687,addison's disease
DB00688,"allogeneic renal, cardiac or hepatic transplants"
DB00689,infections
DB00690,insomnia
DB00691,hypertension
DB00692,hypertension
DB00692,pheochromocytoma
DB00692,infarct
DB00692,cocaine overdose
DB00692,necrosis
DB00692,erectile dysfunction
DB00692,tumor
DB00692,left ventricular failure
DB00692,hypertensive
DB00694,acute lymphocytic leukemia
DB00694,"acute nonlymphocytic leukemia (myelogenous, monocytic, erythroid) of"
DB00695,hypertension
DB00695,edema
DB00695,nephrotic syndrome
DB00695,congestive heart failure
DB00695,cirrhosis of the liver
DB00695,renal disease
DB00696,cephalalgia
DB00696,headache
DB00696,migraine
DB00697,spasticity
DB00698,cystitis
DB00698,urinary tract infections
DB00699,platelet hyper-aggregability
DB00699,senile dementia
DB00699,ischemia
DB00699,migraines
DB00700,left ventricular systolic dysfunction
DB00700,acute myocardial infarction
DB00700,congestive heart failure
DB00701,hiv-1 infection
DB00702,diabetic
DB00702,end-stage renal disease
DB00703,chronic open-angle glaucoma
DB00703,angle-closure glaucoma
DB00705,hiv-1 infection
DB00706,urinary obstruction
DB00706,prostatic hyperplasia
DB00707,esophageal cancer
DB00708,pain
DB00709,chronic hepatitis b
DB00709,hiv infection
DB00710,osteoporosis
DB00711,filarial diseases
DB00711,lymphatic filariasis
DB00711,tropical pulmonary eosinophilia
DB00711,infection
DB00712,bursitis
DB00712,dysmenorrhea
DB00712,rheumatoid arthritis
DB00712,pain
DB00712,miosis
DB00712,tendonitis
DB00712,trauma
DB00712,spondylitis
DB00712,inflammation
DB00713,staphylococci infections
DB00714,end-of-dose
DB00714,parkinson's disease
DB00714,hypomobility
DB00715,ptsd
DB00715,premenstrual dysphoric disorder
DB00715,dementia-associated agitation
DB00715,obsessive-compulsive disorder
DB00715,social phobia
DB00715,post-traumatic stress disorder
DB00715,mdd
DB00715,panic disorder
DB00715,nonpsychotic
DB00715,ocd
DB00715,agoraphobia
DB00715,anxiety disorder
DB00715,eating disorders
DB00715,depressive disorder
DB00715,gad
DB00717,amenorrhea
DB00717,abnormal uterine bleeding
DB00717,submucous fibroids
DB00717,uterine cancer
DB00717,endometriosis
DB00718,chronic hepatitis b
DB00718,active disease
DB00719,nasal congestion
DB00719,congestion
DB00719,allergic rhinitis
DB00719,respiratory mucosal congestion
DB00720,osteolysis
DB00720,malignancy
DB00720,metastases of malignant tumors
DB00720,hypercalcemia
DB00722,hypertension
DB00722,nephropathy
DB00722,myocardial infarction
DB00722,congestive heart failure
DB00722,diabetes mellitus
DB00722,renal disease
DB00722,hypertensive
DB00722,microalbuminuria
DB00723,hypotension
DB00724,nonhyperkeratotic
DB00724,external genital
DB00725,gastric emptying
DB00725,ulcers
DB00726,depression
DB00726,sleep disturbance
DB00726,anxiety
DB00726,agitation
DB00727,angina
DB00729,pylorospasm
DB00729,hyperhidrosis
DB00729,gastritis
DB00729,hypermotility
DB00729,gastric hyperacidity
DB00729,peptic ulcer
DB00730,strongyloidiasis
DB00730,cutaneous larva migrans
DB00730,larva migrans
DB00730,threadworm
DB00730,trichinosis
DB00731,non-insulin dependent-diabetes mellitus
DB00733,poisoning
DB00733,myasthenia gravis
DB00733,overdosage
DB00734,psychosis
DB00734,manic
DB00734,schizophrenia
DB00734,dementia
DB00734,inappropriate behavior
DB00734,aggression
DB00734,bipolar i disorder
DB00735,tinea pedis
DB00735,tinea corporis
DB00735,tinea cruris
DB00736,acid-reflux disorders
DB00736,gerd
DB00736,gastroinetestinal bleeds
DB00736,ulcer disease
DB00737,nausea
DB00737,vomiting
DB00737,dizziness
DB00738,pneumonia
DB00738,pneumocystis
DB00739,bacterial infections
DB00740,amyotrophic lateral sclerosis
DB00740,gehrig's disease
DB00740,als
DB00741,addisons disease
DB00741,lupus
DB00741,crohn's disease
DB00741,arthritis
DB00741,allergic disorders
DB00741,ulcerative colitis
DB00741,psoriasis
DB00741,adrenal insufficiency
DB00742,cerebral edema
DB00742,renal failure
DB00745,daytime sleepiness
DB00745,narcolepsy
DB00746,anemia
DB00747,diverticulitis
DB00747,irritable bowel syndrome
DB00747,bradycardia
DB00747,abdominal pain
DB00747,sialorrhoea
DB00748,angioedema
DB00748,allergic reactions
DB00748,allergic conjunctivitis
DB00748,urticaria
DB00748,allergic skin
DB00748,vasomotor rhinitis
DB00748,allergic rhinitis
DB00749,rheumatoid arthritis
DB00749,osteoarthritis
DB00749,pain
DB00751,allergic conjunctivitis
DB00751,itching
DB00752,depressive
DB00752,melancholia
DB00754,seizures
DB00754,mal
DB00754,tonic-clonic
DB00755,senile comedones
DB00755,basal cell carcinomas
DB00755,acute promyelocytic leukemia
DB00755,icthyosis vulgaris
DB00755,epidermolytic hyperkeratosis
DB00755,acne
DB00755,"keratosis palmaris et plantaris,"
DB00755,darier's disease
DB00755,ichthyosis congenita
DB00755,psoriasis
DB00755,hyperpigmentation
DB00755,icthyosis
DB00755,french-american-british
DB00756,infection
DB00757,nausea
DB00757,vomiting
DB00757,postoperative nausea and vomiting
DB00758,myocardial infarction
DB00758,atherosclerosis
DB00758,stroke
DB00758,vascular death
DB00758,atherosclerotic
DB00758,peripheral arterial disease
DB00759,fever
DB00759,lyme disease
DB00759,rickettsialpox
DB00759,infections
DB00759,brill-zinsser disease
DB00759,h. influenzae
DB00759,bacterial infections
DB00759,pneumoniae
DB00759,acne
DB00759,q fever
DB00759,respiratory infections
DB00759,s. pneumoniae
DB00759,typhus fever
DB00759,allergic
DB00760,appendicitis
DB00760,skin and skin structure
DB00760,bacterial meningitis
DB00760,infections
DB00761,hypokalemia
DB00762,colorectal cancer
DB00762,adenocarcinoma of the pancreas
DB00762,small cell lung cancer
DB00763,graves disease
DB00763,psoriasis
DB00763,hyperthyroidism
DB00763,goiter
DB00764,allergic and perennial allergic rhinitis
DB00765,pheochromocytoma
DB00765,malignant pheochromocytoma
DB00766,infections
DB00767,nausea
DB00767,vomiting
DB00768,ocular itching
DB00768,allergic conjunctivitis
DB00769,steroid-responsive dermatoses
DB00770,congenital heart defects
DB00770,erectile dysfunction
DB00770,psychogenic
DB00771,peptic ulcer disease
DB00771,diverticulitis
DB00771,cramps
DB00771,abdominal or stomach spasms
DB00771,irritable bowel syndrome
DB00771,abdominal pain
DB00772,head lice
DB00772,infected with pediculus humanus capitis
DB00773,non-lymphocytic leukemia
DB00773,malignancies
DB00773,small cell lung cancer
DB00773,tumors
DB00773,glioblastoma multiforme
DB00774,hypertension
DB00774,edema
DB00774,hepatic cirrhosis
DB00774,congestive heart failure
DB00775,acute coronary syndrome
DB00776,seizures
DB00776,epilepsy
DB00777,insomnia
DB00778,respiratory tract
DB00778,infections
DB00779,urinary tract infections
DB00780,bulimia nervosa
DB00780,depressive disorder
DB00781,urinary tract
DB00781,infections
DB00782,hyperhidrosis
DB00782,spasms
DB00782,cramps
DB00782,enuresis
DB00783,dysuria
DB00783,dyspareunia
DB00783,post-menopausal atrophy
DB00783,pruritus
DB00783,urinary urgency
DB00784,fever
DB00784,dysmenorrhea
DB00784,osteoarthritis
DB00784,rheumatoid arthritis
DB00784,pain
DB00784,inflammation
DB00785,hypertension
DB00786,cancers
DB00787,herpes
DB00787,shingles
DB00787,chickenpox
DB00787,herpes zoster
DB00788,bursitis
DB00788,primary dysmenorrhea
DB00788,osteoarthritis
DB00788,tendinitis
DB00788,acute gout
DB00788,rheumatoid arthritis
DB00788,pain
DB00788,spondylitis
DB00789,abnormal vascularity
DB00790,hypertension
DB00790,post-myocardial infarction
DB00790,coronary disease
DB00790,congestive heart failure
DB00792,hypersensitivity
DB00793,tinea
DB00793,skin infections
DB00793,ringworm
DB00794,epilepsy
DB00795,crohn's disease
DB00795,rheumatoid arthritis
DB00796,hypertension
DB00796,left ventricular hypertrophy
DB00796,myocardial infarction
DB00796,congestive heart failure
DB00796,diabetic nephropathy
DB00796,systolic dysfunction
DB00796,coronary artery disease
DB00797,pulmonary artery anomalies
DB00798,indole-positive
DB00798,infections
DB00798,indole-negative
DB00799,acne
DB00799,psoriasis
DB00799,skin (photodamage)
DB00800,hypertension
DB00800,malignant hypertension
DB00800,reduction of blood pressure
DB00801,nervousness
DB00801,anxiety disorders
DB00801,anxiety
DB00802,postoperative pain
DB00804,bowel/irritable bowel syndrome
DB00804,colicky abdominal pain
DB00804,diverticulitis
DB00805,depression
DB00806,chronic occlusive arterial disease of the limbs
DB00806,intermittent lameness
DB00808,hypertension
DB00808,edema
DB00808,congestive heart failure
DB00809,mydriasis
DB00809,paralysis
DB00810,extrapyramidal disorders
DB00810,parkinsonism
DB00811,cirrhosis
DB00811,infections
DB00811,chronic hepatitis c
DB00812,spondylitis
DB00812,backache
