,diseaseNID,diseaseName
4392,4393,Hereditary Opalescent Dentin (disorder)
4393,4394,"Diabetes, Autoimmune"
4394,4395,Familial Atypical Multiple Mole-Melanoma
4395,4396,Dysplastic Nevus
4396,4397,Myxofibroma
4397,4398,Subependymal Giant Cell Astrocytoma
4398,4399,Myxopapillary ependymoma
4399,4400,Choroid Plexus Papilloma
4400,4401,Histiocytoid hemangioma
4401,4402,"Hemangioma, Intramuscular"
4402,4403,"Leiomyosarcoma, Epithelioid"
4403,4404,"Leiomyosarcoma, Myxoid"
4404,4405,Hibernoma
4405,4406,Pleomorphic Lipoma
4406,4407,"Liposarcoma, Dedifferentiated"
4407,4408,"Liposarcoma, Pleomorphic"
4408,4409,Medullomyoblastoma
4409,4410,"Meningiomas, Multiple"
4410,4411,Germ cell tumor
4411,4412,"Neoplasms, Embryonal and Mixed"
4412,4413,Glandular Neoplasms
4413,4414,General Paralysis
4414,4415,"Papilloma, Squamous Cell"
4415,4416,Papillomatosis
4416,4417,"Infections, Parvovirus"
4417,4418,pineoblastoma
4418,4419,Anal Fistula
4419,4420,"Sarcoma, Epithelioid"
4420,4421,"Sarcoma, Spindle Cell"
4421,4422,Thymic Carcinoma
4422,4423,HIV Encephalopathy
4423,4424,Fatal Familial Insomnia
4424,4425,"Infections, Calicivirus"
4425,4426,"Pneumonia, Interstitial"
4426,4427,"Lung Diseases, Interstitial"
4427,4428,Radiation Pneumonitis
4428,4429,Microvascular Angina
4429,4430,Focal Epithelial Hyperplasia
4430,4431,Hyperandrogenism
4431,4432,Kleine-Levin Syndrome
4432,4433,Neuroectodermal Tumors
4433,4434,"Neuroectodermal Tumor, Melanotic"
4434,4435,Periodontal Attachment Loss
4435,4436,WAGR Syndrome
4436,4437,CREST Syndrome
4437,4438,"Lichen Planus, Oral"
4438,4439,Idiopathic Hypereosinophilic Syndrome
4439,4440,Eosinophilic leukemia
4440,4441,Loeffler's Endocarditis
4441,4442,Stunned Myocardium
4442,4443,Myocardial Stunning
4443,4444,"Myopathies, Nemaline"
4444,4445,Reticulocytosis
4445,4446,Reticulocyte count (procedure)
4446,4447,Diabetic Foot
4447,4448,Cytomegalovirus Retinitis
4448,4449,Ki-1+ Anaplastic Large Cell Lymphoma
4449,4450,Lymphomatoid Papulosis
4450,4451,"Leukoplakia, Hairy"
4451,4452,"Amyloid Neuropathies, Familial"
4452,4453,Amyloid Neuropathies
4453,4454,Canavan Disease
4454,4455,Exfoliation Syndrome
4455,4456,Splenosis
4456,4457,Tympanic Membrane Perforation
4457,4458,"Tuberculosis, Drug-Resistant"
4458,4459,"Tuberculosis, Multidrug-Resistant"
4459,4460,Odontodysplasia
4460,4461,Endolymphatic Hydrops
4461,4462,Circovirus Infections
4462,4463,Arterivirus Infections
4463,4464,Flavivirus Infections
4464,4465,Pestivirus Infections
4465,4466,Pneumovirus Infections
4466,4467,Cardiovirus Infections
4467,4468,Lymphatic Vessel Tumors
4468,4469,"Lymphangioma, Cystic"
4469,4470,Adenomyoma
4470,4471,Adenosquamous carcinoma
4471,4472,Hepatoblastoma
4472,4473,Malignant Mixed Tumor
4473,4474,"Mixed Tumor, Mullerian"
4474,4475,Mesoblastic Nephroma
4475,4476,Pulmonary Blastoma
4476,4477,Endometrial Stromal Sarcoma
4477,4478,Lipomatous neoplasm
4478,4479,Angiolipoma
4479,4480,Angiomyolipoma
4480,4481,"Liposarcoma, Myxoid"
4481,4482,Myelolipoma
4482,4483,Chondromatosis
4483,4484,Mesenchymal Chondrosarcoma
4484,4485,Giant Cell Tumor of Bone
4485,4486,"Neoplasms, Bone Tissue"
4486,4487,Ossifying Fibroma
4487,4488,Osteochondromatosis
4488,4489,Parosteal Osteosarcoma
4489,4490,"Neoplasms, Fibrous Tissue"
4490,4491,"Histiocytoma, Benign Fibrous"
4491,4492,Desmoplastic fibroma
4492,4493,"Fibromatosis, Abdominal"
4493,4494,Dermatofibrosarcoma
4494,4495,Myofibromatosis
4495,4496,"Neoplasms, Fibroepithelial"
4496,4497,Fibroadenoma
4497,4498,Clear Cell Sarcoma of Soft Tissue
4498,4499,Angiomyoma
4499,4500,Leiomyomatosis
4500,4501,Alveolar rhabdomyosarcoma
4501,4502,Embryonal Rhabdomyosarcoma
4502,4503,Alveolar Soft Part Sarcoma
4503,4504,Smooth Muscle Tumor
4504,4505,Embryonal Carcinoma
4505,4506,Germinoma
4506,4507,Gonadoblastoma
4507,4508,"Neuroectodermal Tumor, Primitive"
4508,4509,Teratocarcinoma
4509,4510,"Trophoblastic Tumor, Placental Site"
4510,4511,Adrenal Cortical Adenoma
4511,4512,Hepatocellular Adenoma
4512,4513,Eccrine acrospiroma
4513,4514,Hidrocystoma
4514,4515,Syringoma
4515,4516,"Adenoma, Villous"
4516,4517,Adenomatoid Tumor
4517,4518,Adenomatous Polyps
4518,4519,"Mesothelioma, Cystic"
4519,4520,"Adenocarcinoma, Clear Cell"
4520,4521,Follicular thyroid carcinoma
4521,4522,Papillary and follicular adenocarcinoma
4522,4523,Sebaceous Adenocarcinoma
4523,4524,Acinar Cell Carcinoma
4524,4525,Adrenocortical carcinoma
4525,4526,"Carcinoma, Endometrioid"
4526,4527,"Carcinoma, Lobular"
4527,4528,Medullary carcinoma
4528,4529,Mucoepidermoid Carcinoma
4529,4530,"Carcinoma, Neuroendocrine"
4530,4531,"Carcinoma, Signet Ring Cell"
4531,4532,Cholangiocarcinoma
4532,4533,"Cystadenocarcinoma, Mucinous"
4533,4534,"Cystadenocarcinoma, Papillary"
4534,4535,"Cystadenocarcinoma, Serous"
4535,4536,Klatskin Tumor
4536,4537,"Carcinoma, Giant Cell"
4537,4538,"Carcinoma, Large Cell"
4538,4539,Verrucous carcinoma
4539,4540,Cervical Intraepithelial Neoplasia
4540,4541,"Cystadenoma, Serous"
4541,4542,Basal Cell Neoplasm
4542,4543,Pilomatrixoma
4543,4544,Mucoepidermoid Tumor
4544,4545,"Papilloma, Intraductal"
4545,4546,"Neoplasms, Neuroepithelial"
4546,4547,Ganglioglioma
4547,4548,Olfactory Neuroblastoma
4548,4549,Ganglioneuroblastoma
4549,4550,Central Neurocytoma
4550,4551,Squamous Cell Neoplasms
4551,4552,Inverted Papilloma
4552,4553,Sertoli-Leydig Cell Tumor
4553,4554,Sex Cord-Stromal Tumor
4554,4555,Subependymal Glioma
4555,4556,gliosarcoma
4556,4557,Nerve Sheath Tumors
4557,4558,Plexiform Neurofibroma
4558,4559,Neurofibrosarcoma
4559,4560,Neurothekeoma
4560,4561,Angiofibroma
4561,4562,Epithelioid hemangioendothelioma
4562,4563,Strawberry nevus of skin
4563,4564,Hemangioblastoma
4564,4565,"Melanoma, Amelanotic"
4565,4566,"Nevus, Blue"
4566,4567,"Nevus, Intradermal"
4567,4568,Epithelioid and spindle cell nevus
4568,4569,Calcifying Odontogenic Cyst
4569,4570,Rhabdoid Tumor
4570,4571,"T-Lymphocytopenia, Idiopathic CD4-Positive"
4571,4572,Coronavirus Infections
4572,4573,Rhabdoviridae Infections
4573,4574,Alphavirus Infections
4574,4575,Neuroendocrine Tumors
4575,4576,"Limb Deformities, Congenital"
4576,4577,Nevi and Melanomas
4577,4578,Adult Hodgkin Lymphoma
4578,4579,Childhood Brain Neoplasm
4579,4580,Adult Non-Hodgkin Lymphoma
4580,4581,Childhood Rhabdomyosarcoma
4581,4582,Childhood Non-Hodgkin Lymphoma
4582,4583,Adult Soft Tissue Sarcoma
4583,4584,Adult Acute Myeloblastic Leukemia
4584,4585,Gastrointestinal Carcinoid Tumor
4585,4586,Childhood Acute Myeloid Leukemia
4586,4587,Adult Brain Neoplasm
4587,4588,Adult Liver Carcinoma
4588,4589,Uveal melanoma
4589,4590,Malignant neoplasm of salivary gland
4590,4591,Lip and Oral Cavity Carcinoma
4591,4592,Childhood Hodgkin Lymphoma
4592,4593,Childhood Soft Tissue Sarcoma
4593,4594,Carcinoma of unknown primary
4594,4595,Renal Pelvis and Ureter Urothelial Carcinoma
4595,4596,Metastatic malignant neoplasm to brain
4596,4597,Meningeal Carcinomatosis
4597,4598,Malignant ascites
4598,4599,Pfeiffer Syndrome
4599,4600,Acrodysostosis
4600,4601,"ARTHROGRYPOSIS, DISTAL, TYPE 1"
4601,4602,"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS (disorder)"
4602,4603,"BRACHYDACTYLY, TYPE D"
4603,4604,"ARTHROGRYPOSIS MULTIPLEX CONGENITA, DISTAL, TYPE IIA"
4604,4605,Congenital contractural arachnodactyly
4605,4606,Familial benign neonatal epilepsy
4606,4607,"Ehlers-Danlos Syndrome, Autosomal Dominant, Type Unspecified"
4607,4608,Achondrogenesis type 2
4608,4609,KBG syndrome
4609,4610,"Macrocephaly, benign familial"
4610,4611,"Maxillonasal dysplasia, Binder type"
4611,4612,Microcephaly autosomal dominant
4612,4613,"Neurofibromatosis, type 4, of Riccardi"
4613,4614,"POLYDACTYLY, POSTAXIAL"
4614,4615,RETINITIS PIGMENTOSA 1
4615,4616,SCHIZOPHRENIA 1 (disorder)
4616,4617,Shprintzen syndrome
4617,4618,VATER Association
4618,4619,Medium-chain acyl-coenzyme A dehydrogenase deficiency
4619,4620,Long chain acyl-CoA dehydrogenase deficiency
4620,4621,"CATARACT 46, JUVENILE-ONSET"
4621,4622,Cerebrooculofacioskeletal Syndrome 1
4622,4623,"CHOANAL ATRESIA, POSTERIOR"
4623,4624,"CONSTRICTING BANDS, CONGENITAL"
4624,4625,Diastrophic dysplasia
4625,4626,Fryns syndrome
4626,4627,Childhood hypophosphatasia (disorder)
4627,4628,Multiple gastrointestinal atresias (disorder)
4628,4629,Cartilage-hair hypoplasia
4629,4630,Biotinidase Deficiency
4630,4631,"Niemann-Pick Disease, Type C"
4631,4632,Dizygotic twins (disorder)
4632,4633,Weaver-Like Syndrome
4633,4634,Congenital hypoplasia of adrenal gland
4634,4635,Craniofrontonasal dysplasia
4635,4636,FG syndrome
4636,4637,"RUSSELL-SILVER SYNDROME, X-LINKED"
4637,4638,Endotracheal aspiration
4638,4639,Congenital defects
4639,4640,Lightheadedness
4640,4641,Metabolic acidosis
4641,4642,Ketoacidosis
4642,4643,Metabolic alkalosis
4643,4644,Hereditary orotic aciduria
4644,4645,Xanthinuria
4645,4646,Acquired partial lipodystrophy
4646,4647,Rotor Syndrome
4647,4648,Histidinemia
4648,4649,Cystathioninuria
4649,4650,Hyperammonemia
4650,4651,Infantile scurvy
4651,4652,Hypothalamic hypothyroidism
4652,4653,"Hyperparathyroidism, Primary"
4653,4654,Mauriac's syndrome
4654,4655,Malignant Atrophic Papulosis
4655,4656,"Mastocytosis, Systemic"
4656,4657,Reactive systemic amyloidosis
4657,4658,Red blood cell disorder
4658,4659,Hereditary sideroblastic anemia
4659,4660,Sickle cell-beta-thalassemia
4660,4661,Microangiopathic hemolytic anemia
4661,4662,Cyclic neutropenia
4662,4663,Kasabach-Merritt syndrome
4663,4664,X-linked agammaglobulinemia
4664,4665,Immunodeficiency with thymoma
4665,4666,Neonatal thrombocytopenia (disorder)
4666,4667,Hyperviscosity syndrome
4667,4668,Familial generalized lipodystrophy
4668,4669,Trisomy X syndrome
4669,4670,gastrointestinal allergy
4670,4671,Acrodermatitis enteropathica
4671,4672,Liddle Syndrome
4672,4673,High output heart failure
4673,4674,Bradycardia-tachycardia syndrome
4674,4675,Chronic berylliosis
4675,4676,Welander Distal Myopathy
4676,4677,Paramyotonia Congenita (disorder)
4677,4678,Adult type dermatomyositis
4678,4679,Mobius Syndrome
4679,4680,Behr syndrome
4680,4681,Subacute Combined Degeneration
4681,4682,Anterior Spinal Artery Syndrome
4682,4683,"Depression, Postpartum"
4683,4684,Hangover from any Alcohol or Other Drugs substance
4684,4685,Alkalemia
4685,4686,Swallowing painful
4686,4687,Projectile vomiting
4687,4688,Obstipation
4688,4689,Paroxysmal hypertension
4689,4690,Systolic hypertension
4690,4691,Motor Disorders
4691,4692,Diplegia
4692,4693,Paraparesis
4693,4694,Podagra
4694,4695,Hemiballismus
4695,4696,Muscular stiffness
4696,4697,Chordee
4697,4698,Bitemporal Hemianopia
4698,4699,Abnormal palmar creases
4699,4700,Urticaria due to cold
4700,4701,Pelvic kidney
4701,4702,Congenital malrotation of intestine
4702,4703,Vascular ring
4703,4704,Common atrioventricular canal
4704,4705,Neck webbing
4705,4706,Fordyce's disease
4706,4707,Ectopic pancreas
4707,4708,Centriacinar Emphysema
4708,4709,Comedone
4709,4710,Welts
4710,4711,Angular cheilitis
4711,4712,Mesangial proliferative glomerulonephritis
4712,4713,Rapidly progressive glomerulonephritis
4713,4714,Necrolytic Migratory Erythema
4714,4715,Seborrheic dermatitis of scalp
4715,4716,Fissure in skin
4716,4717,Tophus
4717,4718,Eruptive xanthoma
4718,4719,Xanthoma tendinosum
4719,4720,Trichiasis
4720,4721,Dystrophia unguium
4721,4722,Koilonychia
4722,4723,Poliosis
4723,4724,Cafe-au-Lait Spots
4724,4725,Colloid goiter
4725,4726,Pseudolymphoma
4726,4727,Acanthosis
4727,4728,Elastosis perforans serpiginosa
4728,4729,Juvenile polyp
4729,4730,Relative erythrocytosis
4730,4731,Atypical lymphocyte
4731,4732,Anisocytosis
4732,4733,Poikilocytosis
4733,4734,Combined Hepatocellular Carcinoma and Cholangiocarcinoma
4734,4735,"Synovioma, benign"
4735,4736,Chondromyxoid fibroma
4736,4737,Basophilic leukemia
4737,4738,Hypouricemia
4738,4739,Acrocyanosis
4739,4740,Hereditary lymphedema and yellow nails
4740,4741,Syndactyly of fingers
4741,4742,Horseshoe Kidney
4742,4743,Frontal bossing
4743,4744,Macrocephaly
4744,4745,Brachycephaly
4745,4746,Brachydactyly
4746,4747,Long narrow head
4747,4748,Congenital absence of diaphragm
4748,4749,Bifid nose
4749,4750,Double ureter
4750,4751,Acquired Camptodactyly
4751,4752,Claw hand
4752,4753,Hydrosalpinx (disease)
4753,4754,Syphilitic gumma
4754,4755,Non-Bacterial Thrombotic Endocarditis
4755,4756,Melanosis coli
4756,4757,Atrophic Vaginitis
4757,4758,Pituitary cachexia
4758,4759,Pituitary-dependent Cushing's disease
4759,4760,"Anemia, hereditary spherocytic hemolytic"
4760,4761,Melanoderma (disorder)
4761,4762,Vitamin D-dependent rickets
4762,4763,"Blindness, Hysterical"
4763,4764,Recurrent depression
4764,4765,Effects of heat
4765,4766,Lesion of brain
4766,4767,Proximal muscle weakness
4767,4768,Intestinal carcinoma
4768,4769,Bronchial Obstruction
4769,4770,Pain in esophagus (finding)
4770,4771,Depression suicidal
4771,4772,alpha 1-Antitrypsin Deficiency
4772,4773,Brachial Plexus Neuritis
4773,4774,brain cyst
4774,4775,Chronic cystitis
4775,4776,Chronic psychosis
4776,4777,Chronic schizophrenia
4777,4778,Diastasis recti
4778,4779,Hyperamylasemia
4779,4780,Lumbar disc disease
4780,4781,Oral pain
4781,4782,Nontoxic goiter
4782,4783,Pain in wrist
4783,4784,Vaginal Discharge
4784,4785,Retinal fold (finding)
4785,4786,Asymptomatic
4786,4787,Fatigability
4787,4788,Early complication
4788,4789,Failure to gain weight
4789,4790,Increased body mass index
4790,4791,Decreased body mass index
4791,4792,Intolerant of heat
4792,4793,Jet Lag Syndrome
4793,4794,Premature aging syndrome
4794,4795,Abnormal extension
4795,4796,Hyperextension
4796,4797,Abnormal posture
4797,4798,Gegenhalten
4798,4799,Myalgia
4799,4800,Tenalgia
4800,4801,Muscle fibrillation
4801,4802,Osteoid formation disorder
4802,4803,Abnormal bone formation
4803,4804,Joint function disorder
4804,4805,Beevor's sign
4805,4806,Catch - Finding of sensory dimension of pain
4806,4807,Corkscrewing
4807,4808,Wrist-Drop
4808,4809,Ulnar deviation of the wrist
4809,4810,Ulnar deviation of the fingers
4810,4811,"Gait, Unsteady"
4811,4812,Spastic gait
4812,4813,"Gait, Shuffling"
4813,4814,"Gait, Athetotic"
4814,4815,Titubation
4815,4816,Cerebellar Gait Ataxia
4816,4817,Charcot Gait
4817,4818,"Gait, Festinating"
4818,4819,Cerebellar ataxic gait
4819,4820,"Gait, Hemiplegic"
4820,4821,"Gait, Scissors"
4821,4822,Circling gait
4822,4823,Waddling gait
4823,4824,Knee pain
4824,4825,Heel toe gait
4825,4826,Toeing-in
4826,4827,respiratory abnormalities
4827,4828,Dyspnea on exertion
4828,4829,Meningitic respiration
4829,4830,Airway constriction
4830,4831,Tachypnea
4831,4832,Nocturnal cough
4832,4833,Nose symptoms
4833,4834,Pulmonary function
4834,4835,Ventilatory defect
4835,4836,Apnea in the newborn
4836,4837,Induced apnea
4837,4838,Cardiac shunt
4838,4839,Vagal autonomic bradycardia
4839,4840,Reflex bradycardia
4840,4841,Rhythm from artificial pacing
4841,4842,Fibrillation
4842,4843,Ventricular escape rhythm
4843,4844,Systolic Murmurs
4844,4845,Mid-systolic murmur
4845,4846,Chest pain on exertion
4846,4847,Chest tightness
4847,4848,P pulmonale by EKG (finding)
4848,4849,P mitrale (finding)
4849,4850,No-Reflow Phenomenon
4850,4851,Florid red complexion (finding)
4851,4852,Decrease in appetite
4852,4853,Feeding difficulties
4853,4854,Increased peristalsis
4854,4855,Decreased peristalsis
4855,4856,Absent peristalsis
4856,4857,Abdominal discomfort
4857,4858,Abdominal colic
4858,4859,Chronic abdominal pain
4859,4860,Upper abdominal pain
4860,4861,Epigastric pain
4861,4862,Lower abdominal pain
4862,4863,Abdominal tenderness
4863,4864,Premature tooth loss
4864,4865,Hypergastrinemia
4865,4866,Self-induced vomiting
4866,4867,Retching
4867,4868,Nasal regurgitation
4868,4869,Hyperactive bowel sounds
4869,4870,Rectal sensation
4870,4871,Pale feces (finding)
4871,4872,Rectal tenesmus
4872,4873,Decreased liver function
4873,4874,Asterixis
4874,4875,Abnormal gallbladder function
4875,4876,Impairment of urinary concentration
4876,4877,Bladder pain
4877,4878,Functional proteinuria
4878,4879,Febrile proteinuria
4879,4880,Teratogenesis
4880,4881,Primary physiologic amenorrhea
4881,4882,Secondary physiologic amenorrhea
4882,4883,Intermenstrual heavy bleeding
4883,4884,Premenstrual symptom
4884,4885,Arrest of spermatogenesis
4885,4886,Complete spermatogenic arrest
4886,4887,Incomplete spermatogenic arrest
4887,4888,Uterine dysfunction
4888,4889,Cullen's sign
4889,4890,Fetal descent
4890,4891,Complete breech presentation
4891,4892,Frank Breech Presentation
4892,4893,Psychological symptom
4893,4894,Psychiatric symptom
4894,4895,Disorientation
4895,4896,Poor concentration
4896,4897,Emotional disorder
4897,4898,Emotional impulsivity
4898,4899,Labile affect
4899,4900,Euthymic mood
4900,4901,Dysphoric mood
4901,4902,Hyperirritability
4902,4903,Free-floating anxiety
4903,4904,Feeling despair
4904,4905,Abnormal behavior
4905,4906,Inappropriate behavior
4906,4907,Antisocial behavior
4907,4908,Falsification
4908,4909,Defensive aggression
4909,4910,Offensive aggression
4910,4911,Maladaptive behavior associated with physical illness
4911,4912,Temper tantrum
4912,4913,Bradykinesia
4913,4914,Mannerism
4914,4915,Foot tapping
4915,4916,Twirling
4916,4917,Eye poking
4917,4918,Tail-biting
4918,4919,Bar-biting
4919,4920,Catatonic Rigidity
4920,4921,Negativism in catatonia
4921,4922,Waxy flexibility
4922,4923,Ritual compulsion
4923,4924,Onychotillomania
4924,4925,Disorder of form of thought
4925,4926,Incoherent thinking
4926,4927,Mental condensation
4927,4928,Grandiose delusions
4928,4929,Delusion of guilt
4929,4930,Delusion of infidelity
4930,4931,Obsessions
4931,4932,Fear of heights
4932,4933,Algophobia
4933,4934,Cancerophobia
4934,4935,Speech impairment
4935,4936,Poverty of speech
4936,4937,Aprosodia
4937,4938,Circumlocution
4938,4939,Perceptual disturbance
4939,4940,Hysterical amnesia
4940,4941,Derealization
4941,4942,"Hallucinations, Elementary"
4942,4943,"Hallucinations, Auditory"
4943,4944,"Hallucinations, Visual"
4944,4945,"Hallucinations, Olfactory"
4945,4946,"Hallucinations, Gustatory"
4946,4947,"Hallucinations, Tactile"
4947,4948,Micropsia
4948,4949,Macropsia
4949,4950,"Hallucinations, Hypnagogic"
4950,4951,"Hallucinations, Somatic"
4951,4952,"Hallucinations, Mood Congruent"
4952,4953,"Hallucinations, Mood Incongruent"
4953,4954,Hallucinosis
4954,4955,Synesthesia
4955,4956,Memory impairment
4956,4957,Temporary Amnesia
4957,4958,Akatamathesia
4958,4959,Clumsiness
4959,4960,Personality Traits
4960,4961,Sexual nondevelopment
4961,4962,Anorgasmia
4962,4963,Neuromuscular inhibition
4963,4964,Pyramidal sign
4964,4965,Extrapyramidal sign
4965,4966,Dysgraphia
4966,4967,Absent reflex
4967,4968,Cerebellar Dysmetria
4968,4969,Hyperexplexia
4969,4970,Sucking reflex
4970,4971,Palmar reflex
4971,4972,Gowers sign
4972,4973,Sensory denervation disorder
4973,4974,Acroparesthesia
4974,4975,Deep pain
4975,4976,"Pain, Burning"
4976,4977,Sore to touch
4977,4978,Ache
4978,4979,Indifference to pain
4979,4980,Central pain
4980,4981,Tissue Pain
4981,4982,Visceral Pain
4982,4983,"Neuralgia, Atypical"
4983,4984,"Neuralgia, Stump"
4984,4985,"Pain, Referred"
4985,4986,Inflammatory pain
4986,4987,Mechanical pain
4987,4988,Rest pain
4988,4989,Radiating pain
4989,4990,Night pain
4990,4991,Sensitive to smells
4991,4992,"Taste Disorder, Primary"
4992,4993,"Taste Disorder, Primary, Sweet"
4993,4994,"Taste Disorder, Primary, Salt"
4994,4995,"Taste Disorder, Primary, Bitter"
4995,4996,"Taste Disorder, Anterior Tongue"
4996,4997,"Taste Disorder, Secondary"
4997,4998,"Taste Disorder, Secondary, Sweet"
4998,4999,"Taste Disorder, Secondary, Salt"
4999,5000,"Taste Disorder, Secondary, Bitter"
5000,5001,"Taste Disorder, Posterior Tongue"
5001,5002,Adiadochokinesis
5002,5003,Synkinesis
5003,5004,Ataxic
5004,5005,Trembling
5005,5006,Persistent Tremor
5006,5007,Continuous Tremor
5007,5008,Intermittent Tremor
5008,5009,Fine Tremor
5009,5010,Coarse Tremor
5010,5011,Massive Tremor
5011,5012,Action Tremor
5012,5013,Passive Tremor
5013,5014,Static Tremor
5014,5015,Resting Tremor
5015,5016,Darkness Tremor
5016,5017,Visual Cortex Disorder
5017,5018,Physiologic disinhibition
5018,5019,Disturbance of consciousness
5019,5020,"Syncope, Tussive"
5020,5021,Narcosis
5021,5022,Dream disorder
5022,5023,aphasic
5023,5024,"Aphasia, Ageusic"
5024,5025,"Aphasia, Global"
5025,5026,"Aphasia, Functional"
5026,5027,"Aphasia, Graphomotor"
5027,5028,"Aphasia, Intellectual"
5028,5029,"Aphasia, Semantic"
5029,5030,"Aphasia, Syntactical"
5030,5031,Visual Agnosia
5031,5032,Tactile Agnosia
5032,5033,Anosognosia
5033,5034,Finger Agnosia
5034,5035,Prosopagnosia
5035,5036,Speech dysfunction
5036,5037,Anarthria speech disorder
5037,5038,Slurred speech
5038,5039,"Apraxia, Ideomotor"
5039,5040,Ideational Apraxia
5040,5041,"Apraxia, Motor"
5041,5042,Dressing Apraxia
5042,5043,Generalized seizures
5043,5044,Clonic Seizures
5044,5045,Todd Paralysis
5045,5046,Abnormal color vision
5046,5047,Reduced visual acuity
5047,5048,Abnormal saccadic eye movement
5048,5049,Ocular flutter
5049,5050,Pain around eye
5050,5051,Lid lag
5051,5052,"Reflex, Gag, Absent"
5052,5053,Facial grimacing
5053,5054,Weak cry
5054,5055,Cri du chat
5055,5056,Dermatitis acneiform
5056,5057,Annular Erythema
5057,5058,Morbilliform rash
5058,5059,Acute urticaria
5059,5060,Muscle degeneration
5060,5061,Panarteritis
5061,5062,Astasia
5062,5063,Convulsive disorder
5063,5064,Simple Partial Seizures
5064,5065,Dysdiadochokinesis
5065,5066,Mental deterioration
5066,5067,"Gait, Rigid"
5067,5068,"Gait, Broadened"
5068,5069,Hypervigilance
5069,5070,Bulging fontanelle
5070,5071,Peripheral motor neuropathy
5071,5072,Neurologic Symptoms
5072,5073,Neurotoxicity Syndromes
5073,5074,"Paresthesia, Distal"
5074,5075,Skeletal muscle paralysis
5075,5076,Respiratory Depression
5076,5077,"Tremor, Perioral"
5077,5078,"Tremor, Limb"
5078,5079,"Tremor, Muscle"
5079,5080,Nerve Tremors
5080,5081,Visual field constriction
5081,5082,Feeling tense
5082,5083,Euphoric mood
5083,5084,Feeling Cold
5084,5085,"Hallucinations, Sensory"
5085,5086,Restless sleep
5086,5087,Difficulty sleeping
5087,5088,Mania acute
5088,5089,Unable to concentrate
5089,5090,Irrational thoughts
5090,5091,Diastolic hypertension
5091,5092,Ciliary Body Spasm
5092,5093,"Syncope, Effort"
5093,5094,Hyperemesis
5094,5095,Subcapsular cataract
5095,5096,Redness of eye
5096,5097,Keratopathy
5097,5098,Retinal damage
5098,5099,Ototoxicity
5099,5100,Dysosmia
5100,5101,Right upper quadrant pain
5101,5102,Obstruction of colon
5102,5103,Small bowel obstruction
5103,5104,Ulcer on tongue
5104,5105,Hypoplasia of teeth
5105,5106,Granulomatous hepatitis
5106,5107,Wasting
5107,5108,Potassium retention
5108,5109,Hyperuricemic nephropathy
5109,5110,Ketonemia
5110,5111,Ankle edema (finding)
5111,5112,Steroid withdrawal syndrome
5112,5113,Anginal attack
5113,5114,Wide QRS complex
5114,5115,Paroxysmal atrial fibrillation
5115,5116,Disorder of vein
5116,5117,"Heart Failure, Right-Sided"
5117,5118,Intravascular hemolysis
5118,5119,Hemolytic reaction
5119,5120,Granulocytopenia severe
5120,5121,Lymphadenosis
5121,5122,Fibrosing adenosis
5122,5123,Cervical lymphadenopathy
5123,5124,Hodgkin's-like
5124,5125,Qualitative platelet deficiency
5125,5126,Proliferative glomerulonephritis
5126,5127,Malignant neoplasm of female breast
5127,5128,Reduced fetal movement
5128,5129,Galactorrhea not associated with childbirth
5129,5130,Chest discomfort
5130,5131,Port-Wine Stain
5131,5132,Congenital hemangioma
5132,5133,Bladder papilloma
5133,5134,Gallbladder Carcinoma
5134,5135,Vitritis
5135,5136,Neonatal leukaemia
5136,5137,Neonatal encephalopathy
5137,5138,Renal Cell Dysplasia
5138,5139,Congenital hernia
5139,5140,Congenital diaphragmatic hernia
5140,5141,Neonatal diarrhea
5141,5142,Decidual endometritis
5142,5143,"Tremor, Neonatal"
5143,5144,Decreased lacrimation
5144,5145,Delayed delivery
5145,5146,Congenital hypertrichosis lanuginosa
5146,5147,Disease Exacerbation
5147,5148,Depression aggravated
5148,5149,Mononeuritis
5149,5150,Sclerosing peritonitis
5150,5151,Arthritis aggravated
5151,5152,Pulmonary Infiltrate
5152,5153,Impaired psychomotor development
5153,5154,Colagenosis
5154,5155,Pulmonary malformation
5155,5156,Abnormality of the skull
5156,5157,Cerebral atrophy
5157,5158,Zinc deficiency
5158,5159,Clostridium difficile diarrhea
5159,5160,Absence attacks
5160,5161,Renal dysgenesis
5161,5162,Disorder of ejaculation
5162,5163,Elevated alpha-fetoprotein
5163,5164,Pancreatic carcinoma
5164,5165,Stricture of bile duct
5165,5166,Normochromic anemia
5166,5167,Growth hormone excess
5167,5168,Serum iron low (finding)
5168,5169,Renal interstitial fibrosis
5169,5170,Small for gestational age (disorder)
5170,5171,Jaw pain
5171,5172,Aura
5172,5173,Edema of pharynx
5173,5174,Muscle hypertrophy
5174,5175,"Polyposis, Gastric"
5175,5176,Mucosal ulcer
5176,5177,Cerebellar infarction
5177,5178,Menopausal symptom
5178,5179,Disorder of male reproductive system
5179,5180,SLE-like symptoms
5180,5181,Gastrointestinal obstruction
5181,5182,Increased IgE level
5182,5183,ESTRONE MEASUREMENT
5183,5184,Pick Disease of the Brain
5184,5185,Dementia associated with alcoholism
5185,5186,Alcohol withdrawal syndrome
5186,5187,Alcohol-Related Disorders
5187,5188,Amphetamine withdrawal
5188,5189,Cocaine delirium
5189,5190,Cocaine-induced mood disorder
